Box Size,<N> 1,<N> 2,<N> 3,<N> Average,<N> Error,RMS N 1,RMS N 2,RMS N 3,RMS N Average,RMS N Error
2,0.3847,0.3766,0.3538,0.3717,0.04017,0.6165,0.6089,0.5897,0.6050333333,0.03484
4,1.5523,1.5384,1.4592,1.516633333,0.12103,1.2154,1.2356,1.1915,1.214166667,0.05733
6,3.4314,3.4701,3.3604,3.420633333,0.14261,1.7776,1.8452,1.8137,1.812166667,0.08788
8,6.0352,6.1555,6.0427,6.0778,0.15639,2.3472,2.4582,2.3968,2.400733333,0.1443
10,9.3213,9.6703,9.6022,9.531266667,0.4537,2.9913,3.0911,2.9449,3.0091,0.19006
12,13.4005,13.9943,13.927,13.77393333,0.77194,3.6959,3.6876,3.5748,3.652766667,0.15743
14,18.2926,19.1202,19.0508,18.8212,1.07588,4.4018,4.2246,4.1713,4.2659,0.29965
16,24.0125,25.0806,24.9941,24.69573333,1.38853,5.1007,4.8779,4.703,4.893866667,0.51701
18,30.631,31.906,31.7147,31.41723333,1.6575,5.8813,5.5281,5.2703,5.5599,0.7943
20,38.0986,39.4855,39.2828,38.95563333,1.80297,6.6044,6.2913,5.8758,6.257166667,0.94718